victim_age,victim_gender,victim_race,crime_type,location,outcome
19,Male,White,Fraud,Suburban,Arrest
52,Male,White,Fraud,Urban,Warning
74,Male,Black,Vandalism,Urban,Warning
71,Female,White,Assault,Suburban,Arrest
34,Male,Hispanic,Drug Offense,Rural,No Action
35,Female,White,Drug Offense,Rural,Warning
64,Male,Hispanic,Vandalism,Rural,Warning
62,Male,White,Vandalism,Urban,No Action
76,Female,White,Robbery,Suburban,Arrest
44,Male,Asian,Robbery,Suburban,Warning
46,Female,Black,Vandalism,Urban,No Action
52,Female,Hispanic,Drug Offense,Suburban,Arrest
40,Male,Hispanic,Theft,Suburban,Arrest
37,Male,Hispanic,Burglary,Suburban,Warning
69,Male,White,Robbery,Rural,No Action
36,Male,Black,Drug Offense,Urban,Arrest
66,Female,Hispanic,Fraud,Suburban,No Action
45,Female,Black,Assault,Suburban,Warning
35,Male,Hispanic,Assault,Urban,No Action
60,Female,White,Theft,Rural,No Action
79,Female,White,Drug Offense,Urban,Warning
20,Female,White,Assault,Suburban,Warning
69,Female,Hispanic,Robbery,Urban,Warning
52,Male,Hispanic,Assault,Suburban,No Action
75,Female,White,Fraud,Rural,Warning
33,Female,Black,Assault,Urban,No Action
23,Female,Black,Fraud,Suburban,Warning
32,Female,Hispanic,Fraud,Urban,No Action
18,Male,Black,Theft,Rural,Arrest
58,Female,Asian,Drug Offense,Rural,No Action
20,Male,Hispanic,Burglary,Suburban,No Action
58,Male,White,Assault,Suburban,Warning
57,Female,White,Drug Offense,Suburban,Arrest
43,Female,Asian,Fraud,Urban,Arrest
65,Female,Asian,Vandalism,Rural,Arrest
61,Female,Hispanic,Drug Offense,Suburban,No Action
52,Female,Hispanic,Assault,Rural,Warning
60,Male,Black,Theft,Rural,Arrest
29,Male,White,Drug Offense,Urban,No Action
68,Female,Hispanic,Fraud,Urban,Warning
78,Female,Asian,Robbery,Suburban,Warning
76,Male,White,Theft,Suburban,No Action
75,Female,Hispanic,Robbery,Urban,No Action
74,Female,Black,Drug Offense,Rural,Warning
27,Female,Hispanic,Drug Offense,Suburban,Warning
64,Female,Black,Vandalism,Rural,Arrest
39,Female,Black,Robbery,Suburban,Warning
21,Male,Hispanic,Drug Offense,Urban,Arrest
67,Male,White,Burglary,Suburban,Warning
33,Male,Black,Vandalism,Urban,Arrest
45,Male,Black,Robbery,Suburban,No Action
23,Female,Hispanic,Theft,Suburban,Arrest
55,Female,Asian,Burglary,Urban,No Action
65,Female,Asian,Fraud,Suburban,Warning
33,Male,Black,Robbery,Rural,Warning
43,Female,White,Fraud,Urban,Warning
26,Male,Asian,Drug Offense,Urban,No Action
67,Male,Asian,Assault,Suburban,No Action
69,Female,Asian,Burglary,Urban,Warning
51,Female,Hispanic,Fraud,Suburban,Warning
26,Male,Asian,Fraud,Rural,No Action
27,Female,Black,Fraud,Urban,Warning
39,Female,Black,Robbery,Suburban,Warning
55,Male,Hispanic,Assault,Suburban,Warning
40,Male,White,Drug Offense,Rural,Arrest
58,Male,White,Drug Offense,Urban,No Action
25,Male,Black,Drug Offense,Suburban,No Action
56,Female,White,Fraud,Suburban,Warning
51,Female,Asian,Theft,Rural,Warning
63,Male,Black,Robbery,Suburban,No Action
42,Female,White,Fraud,Suburban,Warning
55,Female,Black,Drug Offense,Suburban,No Action
70,Male,Asian,Theft,Urban,Warning
68,Female,Black,Assault,Rural,No Action
31,Female,Black,Vandalism,Rural,No Action
63,Male,White,Robbery,Rural,Warning
25,Female,Asian,Assault,Rural,No Action
45,Female,Asian,Vandalism,Suburban,Arrest
34,Female,Asian,Burglary,Suburban,Arrest
36,Female,White,Vandalism,Rural,No Action
68,Male,Asian,Robbery,Rural,Warning
55,Male,Black,Drug Offense,Rural,Warning
41,Female,White,Robbery,Suburban,Arrest
34,Female,Hispanic,Drug Offense,Suburban,Arrest
35,Female,White,Robbery,Urban,No Action
54,Female,White,Fraud,Urban,No Action
25,Female,White,Vandalism,Suburban,Arrest
40,Male,Hispanic,Burglary,Suburban,Warning
77,Male,Black,Theft,Urban,Warning
44,Male,Black,Vandalism,Urban,No Action
49,Female,White,Drug Offense,Suburban,No Action
28,Female,Hispanic,Assault,Suburban,No Action
68,Female,Black,Burglary,Suburban,No Action
52,Male,White,Drug Offense,Suburban,No Action
53,Male,Asian,Fraud,Rural,No Action
35,Male,Hispanic,Burglary,Rural,Warning
30,Female,Black,Burglary,Suburban,No Action
28,Male,Hispanic,Assault,Rural,Warning
21,Male,Asian,Robbery,Suburban,Warning
73,Male,Asian,Burglary,Rural,Warning
21,Female,Black,Robbery,Suburban,Warning
52,Female,White,Fraud,Urban,No Action
56,Female,Black,Robbery,Rural,Arrest
41,Male,Asian,Burglary,Suburban,No Action
63,Female,Hispanic,Fraud,Suburban,Warning
61,Male,White,Drug Offense,Suburban,No Action
54,Male,White,Fraud,Suburban,No Action
58,Female,Hispanic,Assault,Suburban,No Action
27,Male,White,Theft,Urban,Arrest
31,Male,Asian,Theft,Rural,Warning
72,Female,White,Theft,Urban,Warning
55,Female,Black,Robbery,Urban,Warning
33,Male,White,Vandalism,Suburban,Arrest
59,Female,Black,Theft,Rural,Arrest
21,Female,Asian,Burglary,Rural,No Action
51,Female,Black,Assault,Suburban,No Action
47,Male,Black,Drug Offense,Rural,Warning
79,Male,Asian,Fraud,Suburban,No Action
30,Male,Asian,Burglary,Suburban,Arrest
70,Female,White,Fraud,Rural,Arrest
68,Female,Asian,Theft,Rural,Warning
78,Male,Hispanic,Fraud,Rural,Warning
60,Male,White,Fraud,Rural,Arrest
67,Female,Black,Assault,Rural,Arrest
43,Male,White,Assault,Rural,No Action
65,Male,Black,Drug Offense,Urban,No Action
51,Male,White,Drug Offense,Suburban,Arrest
24,Male,Asian,Burglary,Rural,No Action
62,Female,White,Drug Offense,Rural,Arrest
74,Female,Hispanic,Robbery,Urban,Arrest
43,Male,Black,Drug Offense,Rural,Arrest
31,Female,White,Fraud,Suburban,Warning
64,Female,Asian,Theft,Rural,Warning
25,Male,Black,Assault,Suburban,No Action
78,Female,Hispanic,Assault,Rural,Arrest
74,Female,Asian,Robbery,Suburban,Warning
33,Female,White,Assault,Urban,Arrest
27,Female,Asian,Fraud,Suburban,Arrest
32,Female,Hispanic,Fraud,Urban,No Action
49,Male,White,Assault,Urban,Warning
33,Male,Asian,Theft,Suburban,Arrest
75,Female,White,Drug Offense,Rural,Warning
70,Female,Asian,Assault,Suburban,Warning
59,Male,Asian,Assault,Suburban,Warning
79,Male,Black,Fraud,Rural,Warning
32,Female,Black,Burglary,Urban,Arrest
56,Male,Hispanic,Assault,Rural,Warning
27,Female,Asian,Robbery,Urban,Arrest
36,Female,Black,Burglary,Rural,Warning
19,Male,Hispanic,Drug Offense,Suburban,Warning
68,Male,Black,Theft,Rural,Arrest
27,Female,Asian,Assault,Rural,Warning
26,Male,Black,Robbery,Rural,Arrest
50,Male,Asian,Robbery,Suburban,Arrest
56,Female,Black,Robbery,Urban,No Action
24,Male,Black,Vandalism,Urban,Arrest
46,Female,Black,Assault,Suburban,Arrest
28,Male,Black,Robbery,Urban,No Action
61,Male,Black,Robbery,Rural,Warning
73,Female,Hispanic,Vandalism,Urban,No Action
19,Male,White,Assault,Urban,Warning
35,Male,Hispanic,Burglary,Rural,Arrest
56,Male,Black,Drug Offense,Urban,Arrest
77,Female,Black,Fraud,Suburban,Arrest
55,Female,Hispanic,Vandalism,Rural,No Action
66,Female,Black,Robbery,Rural,Arrest
19,Female,Black,Robbery,Suburban,Warning
21,Female,White,Theft,Rural,No Action
25,Male,Hispanic,Theft,Suburban,Warning
45,Male,Black,Vandalism,Urban,Arrest
20,Male,Asian,Drug Offense,Rural,Arrest
32,Male,White,Vandalism,Rural,Warning
29,Male,Asian,Robbery,Suburban,Arrest
23,Male,Black,Vandalism,Rural,No Action
25,Female,Hispanic,Theft,Urban,Arrest
62,Female,Black,Assault,Urban,Warning
61,Male,Asian,Robbery,Urban,No Action
66,Male,Hispanic,Fraud,Suburban,Warning
25,Male,Asian,Burglary,Rural,Warning
27,Female,Asian,Burglary,Rural,No Action
71,Female,Black,Burglary,Urban,No Action
48,Male,Black,Burglary,Urban,Warning
21,Female,White,Burglary,Suburban,Arrest
68,Female,White,Fraud,Rural,Arrest
69,Male,White,Vandalism,Urban,Warning
72,Male,Asian,Vandalism,Urban,Arrest
69,Male,Hispanic,Fraud,Suburban,Warning
77,Female,Black,Theft,Suburban,No Action
35,Male,Black,Burglary,Urban,No Action
49,Male,White,Assault,Urban,Warning
57,Female,White,Fraud,Rural,No Action
